ID,IV
256,NA
356,5.36537502976477
378,4.87060778181793
64,4.78027247621385
73,5.78366492736234
56,4.20055323606031
345,5.41292122586791
155,3.63253395458377
402,3.52798044046684
406,4.93486771343001
108,5.14852191712081
390,6.1465301217881
232,6.12925125403205
188,7.0448365112608
501,3.66758925991212
298,5.53702161397455
161,5.33337056566358
262,4.85137965373648
364,5.81473648303511
209,4.26597209476352
360,4.27013150500892
449,4.28012394925416
444,6.90418888015902
221,NA
121,3.94817978782855
307,5.43869146245731
38,5.59645084053079
30,5.80933260404402
89,6.08878629471524
500,5.68593002206701
208,3.83783044137566
349,3.29136764853287
401,4.10480412800846
151,NA
426,3.00397258932599
468,5.37639527144555
381,5.7613647164812
107,5.97500375018694
275,5.66884217223048
229,NA
168,NA
61,5.63698304598425
167,7.07343442497543
412,4.99859735298948
191,4.25230720654154
428,5.52666482862322
281,3.63947217075115
98,4.37316888555945
62,NA
365,5.43478885274057
15,3.35941271369629
291,6.31756761477215
453,NA
180,4.59893148087139
496,4.86728647519405
238,NA
435,4.29644512504209
91,4.43756687475525
117,3.80397172719813
249,4.76293565068866
490,3.7921563173246
259,2.78031112785936
461,3.45988145503483
87,5.85315582311067
194,5.41472054444731
335,5.09375490826368
399,4.7767999492338
181,4.72794273462867
52,3.43242301828736
457,5.96635218992215
504,6.71323611243072
495,NA
51,5.08707157280435
458,6.94894293612153
288,6.12864725205956
85,4.27292198146231
200,5.29090790082789
202,5.68752490969973
418,6.64635947085812
410,6.70414723130075
63,4.95716500398194
120,5.78359310927879
388,6.12714216062364
369,7.29605875283417
422,5.11850603074936
376,4.44459014022474
309,4.29555534865316
131,4.78384833338046
334,3.61497759545883
328,4.10449473302181
88,4.54506791420791
76,4.85995742899693
246,NA
34,4.40280631967465
394,4.87522171846511
93,4.75725340746229
274,5.27824454832498
493,4.17752434740059
69,5.61057465635612
320,6.6819568713481
384,3.31869761605398
148,3.24388480932877
456,5.05481707612472
32,6.29028209567193
134,7.17563543994173
138,5.11085630303511
10,5.31724523340373
171,5.06457513686627
123,4.20527758427113
295,4.74613729556178
28,5.19393663793459
228,5.79279406471966
485,5.78148932379853
183,3.32797466512247
165,NA
154,5.33538360589838
40,4.73091763209986
358,2.48111310779144
103,NA
467,4.4886138355115
415,4.90668913181455
316,4.67622690973196
156,5.74755765594695
466,3.23544042986532
96,4.55774987507444
127,6.31593398462723
325,4.8095396455988
118,NA
70,4.59549417318621
507,5.42725863727392
169,4.62264023732189
443,5.18594272038504
106,4.12951954688532
289,4.44774153254749
292,4.15601326450541
367,NA
447,3.14327721295235
491,5.80974705929345
2,4.94408428202195
303,4.24810374432888
100,3.86645375717782
317,2.64128927912521
159,5.91070864303496
460,6.57431689587227
109,4.5727021932964
437,6.33940213762422
375,5.81220222118879
473,6.84729572903908
340,3.09477301673906
143,6.47323285532824
382,5.42688609999902
7,NA
212,5.95918711091398
257,4.82992551752109
71,6.52695833358925
253,5.48681114934322
266,NA
463,4.82639680120547
314,6.53281488350151
398,3.42058548699152
77,3.23739795962587
101,4.33339686073951
241,5.1138601833908
231,3.38413005428139
363,3.61170604744207
327,4.66145874933059
269,4.56270570496118
425,6.17060066201705
322,3.98489669025448
263,4.01434922847063
480,5.69985442453704
343,4.82761813824807
217,5.86056712669962
462,4.35776646005263
324,4.20745375526346
239,4.74244222209157
380,6.1286121212051
344,4.21541904829554
153,6.37493754241536
136,4.44408958621334
22,5.24529215808618
252,5.80785320499493
338,4.96581494452483
386,NA
29,7.35050091176068
393,4.41981553058423
119,5.37353311247337
297,NA
95,4.18775258649177
97,6.31246578234889
35,6.35007073930761
267,4.69776924853177
113,4.6828155888756
57,5.31836688213772
234,5.35608818325306
243,5.39156871557013
497,NA
213,NA
486,3.75519738651135
33,5.99496744935039
310,NA
471,5.36929505741097
79,6.80474374749911
210,4.53518347362202
351,5.76627370662578
336,5.2413216700561
477,6.78208756382488
503,5.68281417259143
240,6.78362506669767
484,5.26048254977918
285,4.88772774377547
186,NA
206,3.24123842435763
139,4.80453220465427
207,5.62151736400378
498,5.74386792674913
416,5.99133520465597
279,4.69082253596321
164,5.17174615864463
144,5.17269737060873
146,5.6834815366679
5,4.46776860266011
218,4.96448364822524
377,4.8096859896649
8,5.13004665529694
273,5.06244874786568
251,4.01762886437355
287,4.3557890126158
459,4.75462785708052
90,5.68886905587022
227,NA
124,4.860512687544
18,5.55310085353342
446,NA
42,3.67901822984499
94,4.52542037055724
420,4.97622966444684
312,4.41953896286215
59,3.31302356955419
49,3.4425276799561
505,2.83718618484575
261,6.1211746305776
31,5.03526373773574
492,4.88333673270021
296,3.71788533807599
436,5.59085719493821
366,5.51901681118858
306,4.15447621644671
407,6.04541884330773
277,5.85055881474108
205,5.82655439234538
271,5.64193367502432
315,NA
115,5.48173338865434
110,6.35439437498056
465,3.57779596709482
441,NA
74,5.53022295236856
430,5.65478256271491
14,5.86712485192759
45,4.11339944450881
43,4.44998922922605
372,NA
44,4.2505408897012
189,3.98866153716133
203,5.80773713434595
347,4.18487319027575
419,5.50961147494907
294,NA
417,5.57908319706609
111,4.95337183496412
187,4.34522662330855
333,5.42216109510624
176,6.3327549763732
47,5.62070442209064
175,4.74893152006394
308,3.19611545394589
442,5.06836992657449
331,4.77646486819385
429,6.08005223449186
192,4.56452660632381
301,5.58709758665929
224,4.39062510591531
248,4.99694849774905
112,6.56189759743002
104,NA
86,4.79219365324005
1,4.08940705864983
157,5.19564561057155
54,6.81033733690988
387,4.74063851930153
129,5.83542778962621
75,5.34936217291484
400,5.45258305322633
149,6.55943765455854
225,5.09030151356018
397,4.18362254228416
506,6.062679739363
260,NA
508,5.69271213256711
427,5.12600264144061
280,6.32574758567412
329,5.79827970889019
353,NA
4,5.23113483876503
302,3.84616244339985
114,5.50621047348146
265,4.86158401760369
41,4.15423939086336
472,5.75840515987165
330,6.13876518838493
46,5.64586694374709
250,4.00077113903447
177,5.34671942592235
233,4.17245308274276
424,5.93110932545623
403,4.4410719354465
487,4.20495898661961
283,4.00548597840202
84,5.89008351310559
216,4.63235115582823
304,4.64294698248023
27,5.00105651846722
489,3.91309118110411
6,5.51401245819586
105,4.36114331917955
502,5.13427240308567
268,NA
368,3.9759868498624
66,4.84254375647747
132,4.93952166273115
383,4.73092041580709
476,3.705811928847
39,4.57260415593883
470,5.00741853362181
126,5.6318089652732
244,3.42283842022011
339,NA
396,5.64514325510137
82,5.70173820942708
199,NA
19,4.64016118684322
80,6.55070123889439
469,NA
81,3.39673217128376
67,5.76712312912281
50,6.47243455041067
72,3.98728760763619
321,5.89921525816393
432,1.90479335559076
482,5.41845771819365
346,3.24491368760363
450,4.98187637807228
258,6.0639991234425
286,4.15803196052619
185,5.67122340617192
448,2.7013710071723
264,NA
370,4.38224415777786
222,6.32505675442634
142,4.11755006807016
226,NA
163,6.60672398133279
408,6.36443316285761
255,6.13822780662623
92,4.31152982701873
350,4.25729905244857
211,NA
125,NA
214,3.89520138639889
440,NA
278,4.12531441643823
147,3.99657084480251
411,5.37122936364951
102,4.53846852633898
23,5.29311405792384
374,5.66880593647451
391,4.57468978035662
13,4.84284623347623
494,4.20052554402318
474,5.73156964954825
150,3.45521511720051
60,4.28524764177454
355,6.71457720876306
478,4.60364183118697
242,4.89617058525274
220,3.03797424691397
65,4.68301110077149
141,5.9474974174991
438,5.33872725107112
223,2.87498861650246
245,6.4953702023127
481,5.87709533861945
454,4.14206736820908
475,5.20551716754434
247,5.84537639064064
68,5.71425679694684
305,5.6500039026316
201,6.3558804719413
130,3.81347843031935
431,3.80607993406154
140,5.55553519390988
48,3.75497139927568
230,3.69244193734415
362,4.79952864173958
198,2.9440891403846
170,4.41332785162777
3,NA
341,4.60065922781519
196,4.71724769043259
352,2.4714905048175
373,6.23334339699842
434,4.41732012206283
392,NA
439,4.36277145380453
385,7.19409943074993
173,4.55604660988656
445,4.69755635220524
37,NA
409,6.58127609115464
179,3.66919044482193
178,6.0977353991218
326,3.68803321340244
137,4.66930029307736
172,3.78341781332011
78,6.52129825374872
371,4.73473789036632
26,3.73537254872034
235,5.0675116652648
270,5.45275824768381
293,3.92410277858201
319,6.04782983610507
12,5.87042286682573
300,4.00312333943312
133,5.91233822364759
193,5.84608873416036
354,4.7767884268191
190,4.73272586830674
318,3.66082538436998
357,3.59228200749196
162,5.19341203959431
455,4.47494524358512
311,5.00215616771019
11,NA
433,4.65142911527973
237,5.75833812025163
290,4.73246639871996
158,5.53118756058007
219,5.44750414323522
414,NA
299,2.85684875015307
451,6.77842876759526
276,4.63733448653451
116,5.1131446730497
145,6.1395481425618
342,5.65261992788265
135,3.46505813136351
21,4.82040778781141
197,4.10047847223539
58,5.46557744523526
122,5.64503565886985
128,5.22482024203145
9,4.87516753849844
405,4.74887575331706
483,6.02317713107178
337,5.60112858454182
254,7.526032779832
423,4.09838223481216
361,5.11123268040684
36,3.99976477771281
323,3.97245197862466
404,5.74657303785725
182,3.80876372472563
395,5.44707832609663
20,NA
488,4.25964487171205
152,3.74900098103371
236,6.63521501087548
17,4.68960877990931
16,3.8554639248056
499,4.63701633492634
272,5.11945034350235
359,4.65237069109136
479,4.31601381277364
413,6.99687275160877
160,4.32571063643595
166,4.62199964285985
83,5.62104107963546
389,4.56109256393594
282,5.23948751371386
24,5.28569102210159
55,5.14944712998159
452,4.89493609082978
284,5.36448880428792
313,4.16317697134294
204,4.07994075508305
25,5.63623093671918
464,5.00550905707082
348,4.77539826108645
215,1.90399158418845
99,4.5817763352964
53,5.28189290671473
195,5.55716010914268
421,3.88659022680068
332,6.82605208822176
379,4.95628576262066
184,5.47748955944057
174,2.98729862169673
